sub_id,trial_number,trial_mode,box_number,total_distance,trial_time
s102,151,1,8,0.5661080714043714,2.565
s102,152,3,4,0.37032735375680254,1.729
s102,153,3,12,0.6955314166817279,3.137
s102,154,2,4,0.7868410800215869,3.418
s102,155,2,4,0.4502413538492296,3.354
s102,156,3,8,0.7049049950207072,3.524
s102,157,1,12,0.6968072376628128,3.119
s102,158,2,8,0.5163499397953614,4.059
s102,159,3,4,0.3554189259347329,1.668
s102,160,3,8,0.6462681613004014,2.826
s102,161,2,8,0.7344397046692943,4.803
s102,162,1,4,0.4945897340434069,1.937
s102,163,1,4,0.30261505288098445,1.593
s102,164,3,8,0.7723277540846194,3.249
s102,165,4,12,1.0302466566870507,5.976
s102,166,1,8,0.5481396744970287,1.947
s102,167,3,12,0.8715222847360502,3.838
s102,168,2,8,0.6114987416196459,4.083
s102,169,3,4,0.5998249988283708,2.116
s102,170,2,8,1.1985647532208443,7.701
s102,171,3,8,0.7147015076208016,2.866
s102,172,4,8,0.5544020425479175,3.246
s102,173,3,8,0.610079473605134,2.557
s102,174,2,12,0.8512391966282383,5.917
s102,175,1,12,0.9593238066365988,3.939
s102,176,3,12,0.91442103850857,3.949
s102,177,3,12,1.0386486424961794,3.301
s102,178,4,8,0.4716712465217847,2.691
s102,179,3,8,0.9070482987559436,3.188
s102,180,1,8,0.6692968806506102,3.236
s103,1,3,12,0.7664870409068876,3.813
s103,2,3,12,1.0926265998793034,4.492
s103,3,1,8,0.694524360840462,3.139
s103,4,1,4,0.44854150691497774,1.694
s103,5,2,12,0.639238855012086,4.418
s103,6,3,8,0.6377454455287503,2.736
s103,7,2,4,0.32087109295906807,1.628
s103,8,3,8,0.6365927415464402,2.961
s103,9,3,4,0.4336513873337435,1.574
s103,10,1,4,0.36740272473157953,1.624
s103,11,3,4,0.4114989521347662,1.296
s103,12,3,12,1.184314521484663,5.006
s103,13,3,4,0.4317502119135978,2.251
s103,14,1,12,0.833458834219442,3.471
s103,15,4,8,0.7236764926080718,5.314
s103,16,2,8,0.3150245542996578,2.42
